ResponseId,Age,Gender,Sexuality,Country,EdLevel,LearnCode,Employment,ConvertedCompYearly,YearsLearnPro,Degree
12,25-34 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,46482.0,7.0,Yes
20,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,,3.0,Yes
46,35-44 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,60480.0,7.0,Yes
69,35-44 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Traditional,Employed,58373.0,10.0,Yes
80,18-24 years old,Man,Straight / Heterosexual,Spain,"Associate degree (A.A., A.S., etc.)",Non-traditional,Employed,21620.0,,Yes
109,25-34 years old,Man,Straight / Heterosexual,Spain,"Associate degree (A.A., A.S., etc.)",Both,Employed,38915.0,2.0,Yes
202,35-44 years old,Man,Straight / Heterosexual,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,21600.0,0.0,Yes
226,18-24 years old,Man,Straight / Heterosexual,Chile,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,22584.0,4.0,Yes
268,35-44 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,,14.0,Yes
270,25-34 years old,Man,Straight / Heterosexual,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,,6.0,Yes
290,35-44 years old,Man,Straight / Heterosexual,Argentina,Some college/university study without earning a degree,Non-traditional,Employed,75000.0,4.5,No
297,25-34 years old,Man,Straight / Heterosexual,Brazil,Some college/university study without earning a degree,Traditional,Employed,8796.0,0.0,No
301,25-34 years old,Man,Straight / Heterosexual,Spain,"Professional degree (JD, MD, etc.)",Both,Employed,32429.0,4.0,Yes
302,25-34 years old,Other,LGBT / Non-hetero,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Non-traditional,Employed,12972.0,0.0,Yes
306,25-34 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,28105.0,5.0,Yes
314,35-44 years old,Man,Straight / Heterosexual,Costa Rica,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Employed,18000.0,0.0,Yes
342,> 45 years old,Other,LGBT / Non-hetero,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,Not employed,,,Yes
353,25-34 years old,Man,Straight / Heterosexual,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Both,Employed,,5.0,Yes
390,25-34 years old,Man,Straight / Heterosexual,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Non-traditional,"Independent contractor, freelancer, or self-employed",64860.0,2.0,Yes
391,18-24 years old,Man,Straight / Heterosexual,Peru,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Traditional,Employed,19860.0,5.0,Yes
